CHARLPLAMR  1879  19  37  19  79  19  45  19  14  19  59  19 427  19 715-999-999 112PCMA0197Charlie Lake, CDN  832  
CHARLPLAMR  1880  19  36  19  70  19  42  19   9  19  51  19 402  19 632-999-999 113PCMA0197Charlie Lake, CDN  832  
CHARLPLAMR  1881  20  37  20  73  20  39  20  11  20  49  20 413  20 664-999-999 114PCMA0197Charlie Lake, CDN  832  
CHARLPLAMR  1882  20  38  20  81  20  40  20  14  20  54  20 431  20 726-999-999 115PCMA0197Charlie Lake, CDN  832  
CHARLPLAMR  1883  20  39  20  75  20  41  20  11  20  53  20 430  20 670-999-999 116PCMA0197Charlie Lake, CDN  832  
CHARLPLAMR  1884  20  38  20  66  20  33  20  12  20  44  20 423  20 594-999-999 117PCMA0197Charlie Lake, CDN  832  
CHARLPLAMR  1885  20  37  20  70  20  38  20  12  20  50  20 412  20 639-999-999 118PCMA0197Charlie Lake, CDN  832  
CHARLPLAMR  1886  20  35  20  70  20  44  20  10  20  54  20 404  20 627-999-999 119PCMA0197Charlie Lake, CDN  832  
CHARLPLAMR  1887  20  36  20  73  20  44  20  10  20  54  20 403  20 650-999-999 120PCMA0197Charlie Lake, CDN  832  
CHARLPLAMR  1888  21  36  21  65  21  36  21  10  21  46  21 401  21 589-999-999 121PCMA0197Charlie Lake, CDN  832  
CHARLPLAMR  1889  21  37  21  78  21  35  21  11  21  46  21 421  21 698-999-999 122PCMA0197Charlie Lake, CDN  832  
CHARLPLAMR  1890  20  37  20  70  20  33  20   9  20  42  20 415  20 629-999-999 123PCMA0197Charlie Lake, CDN  832  
CHARLPLAMR  1891  20  37  20  70  20  34  20   9  20  42  20 412  20 635-999-999 124PCMA0197Charlie Lake, CDN  832  
CHARLPLAMR  1892  20  37  20  71  20  29  20   8  20  38  20 419  20 647-999-999 125PCMA0197Charlie Lake, CDN  832  
CHARLPLAMR  1893  20  37  20  73  20  31  20   9  20  40  20 423  20 658-999-999 126PCMA0197Charlie Lake, CDN  832  
CHARLPLAMR  1894  20  38  20  77  20  34  20  10  20  44  20 431  20 689-999-999 127PCMA0197Charlie Lake, CDN  832  
CHARLPLAMR  1895  20  38  20  79  20  36  20  13  20  49  20 437  20 708-999-999 128PCMA0197Charlie Lake, CDN  832  
CHARLPLAMR  1896  20  38  20  72  20  32  20  12  20  43  20 426  20 642-999-999 129PCMA0197Charlie Lake, CDN  832  
CHARLPLAMR  1897  20  37  20  74  20  34  20   8  20  42  20 417  20 662-999-999 130PCMA0197Charlie Lake, CDN  832  
CHARLPLAMR  1898  20  37  20  78  20  32  20  10  20  42  20 420  20 699-999-999 131PCMA0197Charlie Lake, CDN  832  
CHARLPLAMR  1899  20  36  20  70  20  36  20   9  20  45  20 415  20 630-999-999 132PCMA0197Charlie Lake, CDN  832  
CHARLPLAMR  1900  20  38  20  82  20  36  20  11  20  47  20 442  20 726-999-999 133PCMA0197Charlie Lake, CDN  832  
CHARLPLAMR  1901  20  37  20  80  20  37  20  10  20  47  20 423  20 713-999-999 134PCMA0197Charlie Lake, CDN  832  
CHARLPLAMR  1902  21  37  21  76  21  34  21  10  21  43  21 425  21 685-999-999 135PCMA0197Charlie Lake, CDN  832  
CHARLPLAMR  1903  21  37  21  79  21  35  21   9  21  44  21 422  21 714-999-999 136PCMA0197Charlie Lake, CDN  832  
CHARLPLAMR  1904  21  37  21  74  21  36  21  11  21  47  21 424  21 665-999-999 137PCMA0197Charlie Lake, CDN  832  
CHARLPLAMR  1905  21  37  21  76  21  38  21   9  21  47  21 419  21 684-999-999 138PCMA0197Charlie Lake, CDN  832  
CHARLPLAMR  1906  21  37  21  72  21  37  21   9  21  46  21 420  21 644-999-999 139PCMA0197Charlie Lake, CDN  832  
CHARLPLAMR  1907  23  37  23  71  23  36  23   9  23  45  23 412  23 641-999-999 140PCMA0197Charlie Lake, CDN  832  
